user,search
webintelligence,"search eventtype=web-traffic  eventtype=ua-bot-* NOT (eventtype=ua-bot-nagios OR eventtype=clientip-nonroutable OR eventtype=clientip-internal OR useragent=""-"") | eval eventtype=mvfilter(match(eventtype, ""ua\-bot\-.*""))| top eventtype"
webintelligence,search eventtype=pageview | top uri_path
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Pageview*""| top uri"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Assets documents*"" | top uri_path"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Assets media*"" | top uri_path"
webintelligence,search eventtype=pageview (method=GET OR method=POST)  | top clientip
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"") ] source=""User session nonsingle eventcount*""| makemv timeandduration | mvexpand timeandduration | eval _time=tonumber(substr(timeandduration,1,10)) | eval duration = tonumber(substr(timeandduration,12))/60 | timechart  perc25(duration) as ""25th Percentile"", median(duration) as ""Median"", perc75(duration) as ""75th Percentile"""
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Referer phrases*"" | top q"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Referer phrases*"" | rex field=q max_match=20 ""(?<keywords>\w+)"" | top limit=100 keywords | lookup stopwords keywords | fillnull alwaysone | search alwaysone=0 | sort limit=10 - count | fields - alwaysone"
webintelligence,"search eventtype=pageview eventtype=ua-feedreader* | eval eventtype=mvfilter(match(eventtype, ""ua\-feedreader.*""))| top eventtype"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"") ] source=""User session visitor source*"" | eval eventcount = myeventcount | eval user_type=case(eventcount=1, ""bounce"", eventcount<=5, ""2-5 pages"", eventcount<=10,""6-10 pages"", eventcount>10, "">10 pages"") | stats count by user_type"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Organic brand*""| top q"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Organic nonbrand*""| top q"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Brand*"" | timechart limit=5 sum(mycount) BY q | fields - OTHER"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Referer category*"" | eval eventtype = myeventtype | top eventtype"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""Referer breakdown*"" | eval eventtype = myeventtype | top referer_domain BY eventtype"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""User session browser stats*""| makemv uniqip | top browser"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""User session mobile stats*""| makemv uniqip | top platform"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""User session handheld count*"" | makemv myips | stats dc(myips) as count by ismobile"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=3605, ""index=wi_summary_fivemin"", if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"")) ] source=""User session demographics*"" | lookup local=true geoip clientip | stats count BY client_country, client_region"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"") ] source=""User session visitor source*"" | timechart eval(sum(myeventcount)) AS pageviews, dc(clientip) AS unique_visitors, eval((sum(myeventcount))/dc(clientip)) AS avg_pageviews"
webintelligence,"search host=* [ stats count | addinfo | eval range=info_max_time - info_min_time | eval search=if(range<=(86400+3600),""index=wi_summary_hourly"",""index=wi_summary_daily"") ] source=""User session visitor source*"" | eval eventcount=myeventcount  | makemv delim="" "" myeventtypes | eval eventtype=myeventtypes | eval eventtype=mvfilter(match(eventtype, ""visitor\-type\-.*"")) | eval eventtype=mvindex(eventtype, 0) |  stats count, avg(myduration) AS avg_duration, avg(eventcount) AS avg_eventcount BY eventtype, _time"
