cluster,X,Y,mouseover
0.0,-2240.92185224,-225.642413137,"
        Ship type: A
        Years constructed: 1960-64
        Years operated: 1960-74
        Months of service: 127
        Damage incidencts: 0
        "
0.0,175.225363826,1002.58141582,"
        Ship type: A
        Years constructed: 1960-64
        Years operated: 1975-79
        Months of service: 63
        Damage incidencts: 0
        "
0.0,1166.22188823,1182.24675524,"
        Ship type: A
        Years constructed: 1965-69
        Years operated: 1960-74
        Months of service: 1095
        Damage incidencts: 3
        "
0.0,264.776309877,-215.411214479,"
        Ship type: A
        Years constructed: 1965-69
        Years operated: 1975-79
        Months of service: 1095
        Damage incidencts: 4
        "
0.0,2201.19468895,1110.14658077,"
        Ship type: A
        Years constructed: 1970-74
        Years operated: 1960-74
        Months of service: 1512
        Damage incidencts: 6
        "
0.0,1117.58646435,-471.143190546,"
        Ship type: A
        Years constructed: 1970-74
        Years operated: 1975-79
        Months of service: 3353
        Damage incidencts: 18
        "
0.0,1630.21444939,257.227743099,"
        Ship type: A
        Years constructed: 1975-79
        Years operated: 1960-74
        Months of service: 0
        Damage incidencts:  
        "
0.0,2475.19825467,-142.764183403,"
        Ship type: A
        Years constructed: 1975-79
        Years operated: 1975-79
        Months of service: 2244
        Damage incidencts: 11
        "
0.0,-2446.29464792,1785.50785694,"
        Ship type: B
        Years constructed: 1960-64
        Years operated: 1960-74
        Months of service: 44882
        Damage incidencts: 39
        "
0.0,-2290.16082183,-1153.4455599,"
        Ship type: B
        Years constructed: 1960-64
        Years operated: 1975-79
        Months of service: 17176
        Damage incidencts: 29
        "
0.0,-872.612882847,-2532.52988319,"
        Ship type: B
        Years constructed: 1965-69
        Years operated: 1960-74
        Months of service: 28609
        Damage incidencts: 58
        "
0.0,-1505.58611375,1520.5582868,"
        Ship type: B
        Years constructed: 1965-69
        Years operated: 1975-79
        Months of service: 20370
        Damage incidencts: 53
        "
0.0,157.577765156,-1009.71264365,"
        Ship type: B
        Years constructed: 1970-74
        Years operated: 1960-74
        Months of service: 7064
        Damage incidencts: 12
        "
0.0,1025.19962937,-1309.25889735,"
        Ship type: B
        Years constructed: 1970-74
        Years operated: 1975-79
        Months of service: 13099
        Damage incidencts: 44
        "
0.0,-1517.61086918,2502.64529974,"
        Ship type: B
        Years constructed: 1975-79
        Years operated: 1960-74
        Months of service: 0
        Damage incidencts:  
        "
0.0,-1466.30517836,-1676.12315123,"
        Ship type: B
        Years constructed: 1975-79
        Years operated: 1975-79
        Months of service: 7117
        Damage incidencts: 18
        "
0.0,2000.5382218,-1067.116786,"
        Ship type: C
        Years constructed: 1960-64
        Years operated: 1960-74
        Months of service: 1179
        Damage incidencts: 1
        "
0.0,-1959.31634927,660.639356532,"
        Ship type: C
        Years constructed: 1960-64
        Years operated: 1975-79
        Months of service: 552
        Damage incidencts: 1
        "
0.0,-633.228718102,-3400.85177697,"
        Ship type: C
        Years constructed: 1965-69
        Years operated: 1960-74
        Months of service: 781
        Damage incidencts: 0
        "
0.0,-2886.75950759,825.735714713,"
        Ship type: C
        Years constructed: 1965-69
        Years operated: 1975-79
        Months of service: 676
        Damage incidencts: 1
        "
0.0,-1319.42489363,15.1773422195,"
        Ship type: C
        Years constructed: 1970-74
        Years operated: 1960-74
        Months of service: 783
        Damage incidencts: 6
        "
0.0,1537.21758064,-2125.92720765,"
        Ship type: C
        Years constructed: 1970-74
        Years operated: 1975-79
        Months of service: 1948
        Damage incidencts: 2
        "
0.0,-339.171207714,420.57839428,"
        Ship type: C
        Years constructed: 1975-79
        Years operated: 1960-74
        Months of service: 0
        Damage incidencts:  
        "
0.0,-499.164191792,-1801.08749121,"
        Ship type: C
        Years constructed: 1975-79
        Years operated: 1975-79
        Months of service: 274
        Damage incidencts: 1
        "
0.0,-2995.18050771,-1710.49363653,"
        Ship type: D
        Years constructed: 1960-64
        Years operated: 1960-74
        Months of service: 251
        Damage incidencts: 0
        "
0.0,345.032472838,-1889.02721189,"
        Ship type: D
        Years constructed: 1960-64
        Years operated: 1975-79
        Months of service: 105
        Damage incidencts: 0
        "
0.0,758.621775024,403.775683222,"
        Ship type: D
        Years constructed: 1965-69
        Years operated: 1960-74
        Months of service: 288
        Damage incidencts: 0
        "
0.0,-1491.92860006,-775.498527154,"
        Ship type: D
        Years constructed: 1965-69
        Years operated: 1975-79
        Months of service: 192
        Damage incidencts: 0
        "
0.0,1479.34772191,2110.46281189,"
        Ship type: D
        Years constructed: 1970-74
        Years operated: 1960-74
        Months of service: 349
        Damage incidencts: 2
        "
0.0,-560.390754788,-321.077916861,"
        Ship type: D
        Years constructed: 1970-74
        Years operated: 1975-79
        Months of service: 1208
        Damage incidencts: 11
        "
0.0,-553.259340769,1510.44273746,"
        Ship type: D
        Years constructed: 1975-79
        Years operated: 1960-74
        Months of service: 0
        Damage incidencts:  
        "
0.0,-1990.19677001,-2470.87228138,"
        Ship type: D
        Years constructed: 1975-79
        Years operated: 1975-79
        Months of service: 2051
        Damage incidencts: 4
        "
0.0,-715.701081358,-1060.35383359,"
        Ship type: E
        Years constructed: 1960-64
        Years operated: 1960-74
        Months of service: 45
        Damage incidencts: 0
        "
0.0,15359.3942356,5275.65288237,"
        Ship type: E
        Years constructed: 1960-64
        Years operated: 1975-79
        Months of service: 0
        Damage incidencts:  
        "
0.0,-1046.42733966,792.798797266,"
        Ship type: E
        Years constructed: 1965-69
        Years operated: 1960-74
        Months of service: 789
        Damage incidencts: 7
        "
0.0,400.377661365,1808.8205342,"
        Ship type: E
        Years constructed: 1965-69
        Years operated: 1975-79
        Months of service: 437
        Damage incidencts: 7
        "
0.0,-525.216145032,2439.92334627,"
        Ship type: E
        Years constructed: 1970-74
        Years operated: 1960-74
        Months of service: 1157
        Damage incidencts: 5
        "
0.0,501.144080074,-2784.45233486,"
        Ship type: E
        Years constructed: 1970-74
        Years operated: 1975-79
        Months of service: 2161
        Damage incidencts: 12
        "
0.0,453.557400089,2745.7963029,"
        Ship type: E
        Years constructed: 1975-79
        Years operated: 1960-74
        Months of service: 0
        Damage incidencts:  
        "
0.0,-3193.5681896,-227.927700762,"
        Ship type: E
        Years constructed: 1975-79
        Years operated: 1975-79
        Months of service: 542
        Damage incidencts: 1
        "
